player_id,player_name,age,position,minutes,appearances,starts,subs,goals,assists,g_plus_a_90,shots_90,shots_on_target_90,pens_taken,pens_scored,club_position,season,goals_next,assists_next,next_season_g_plus_a,player_id,g_plus_a_per_90,current_g_plus_a
1,Ollie Watkins,25,CF,3329,37,37,0,14,5,0.51,2.65,1.27,2,1,11,2020,11,2,13,,,19
2,Harry Kane,27,CF,3082,35,35,0,23,14,1.08,4.03,1.61,4,4,7,2020,17,9,26,,,37
3,Dominic Calvert-Lewin,24,CF,2871,33,32,1,16,3,0.5,2.6,1.47,0,0,10,2020,5,2,7,,,19
4,Richarlison,24,CF,2862,34,33,1,7,3,0.31,2.55,1.01,1,1,10,2020,10,5,15,,,10
5,Jamie Vardy,34,CF,2840,34,31,3,15,10,0.76,2.63,1.2,9,8,5,2020,15,2,17,,,25
6,Roberto Firmino,29,CF,2838,36,33,3,9,7,0.51,2.63,1.08,0,0,3,2020,5,4,9,,,16
7,Che Adams,24,CF,2667,36,30,6,9,5,0.47,1.86,1.05,0,0,15,2020,7,3,10,,,14
8,Neal Maupay,24,CF,2513,33,29,4,8,2,0.36,2.54,0.93,4,3,16,2020,8,2,10,,,10
9,Jordan Ayew,29,CF,2096,33,23,10,1,3,0.17,1.12,0.47,0,0,14,2020,3,3,6,,,4
10,Callum Wilson,29,CF,2084,26,23,6,12,5,0.73,2.12,0.86,4,4,12,2020,8,0,8,,,17
11,Gabriel Jesus,24,CF,2063,29,22,7,9,4,0.57,2.4,0.74,0,0,1,2020,8,8,16,,,13
12,Michail Antonio,31,CF,1974,26,24,2,10,5,0.68,2.87,1.14,0,0,6,2020,10,8,18,,,15
13,Danny Welbeck,30,CF,1545,24,17,4,6,3,0.41,2.04,0.87,0,0,16,2020,6,2,8,,,9
14,Kelechi Iheanacho,24,CF,1459,25,16,9,12,2,0.65,3.64,1.54,1,0,5,2020,4,5,9,,,14
15,Rodrigo,30,CF,1288,26,14,12,7,2,0.63,3.21,1.26,0,0,9,2020,6,1,7,,,9
16,Mohamed Salah,28,RW,3078,37,34,3,22,5,0.79,3.68,1.58,6,6,3,2020,23,13,36,,,27
17,Jarrod Bowen,24,RW,2561,38,30,8,8,5,0.18,1.93,0.56,0,0,6,2020,12,10,22,,,13
18,Bukayo Saka,19,RW,2553,32,30,2,5,4,0.28,2.15,0.71,0,0,8,2020,11,7,18,,,9
19,Raheem Sterling,26,RW,2536,31,28,3,10,8,0.6,2.48,0.99,1,0,1,2020,13,5,18,,,18
20,Miguel Almiron,27,RW,2428,34,28,6,4,1,0.19,1.22,0.56,0,0,12,2020,1,0,1,,,5
21,Andros Townsend,29,RW,2258,34,25,9,1,5,0.24,1.43,0.44,0,0,14,2020,3,2,5,,,6
22,Riyad Mahrez,30,RW,1949,27,23,4,9,6,0.69,2.68,1.02,0,0,1,2020,11,5,16,,,15
23,Heung-min Son,28,LW,3114,37,36,1,17,11,0.78,1.97,1.07,1,1,7,2020,23,9,32,,,28
24,Marcus Rashford,23,LW,2916,37,33,4,11,13,0.62,2.43,1.14,0,0,2,2020,4,2,6,,,24
25,Jack Harrison,24,LW,2847,36,34,2,8,8,0.51,1.45,0.63,0,,9,2020,8,1,9,,,16
26,Leandro Trossard,26,LW,2607,35,30,5,5,5,0.35,2,0.79,0,0,16,2020,8,3,11,,,10
27,Jack Grealish,25,LW,2185,26,24,2,6,12,0.66,2.06,0.78,0,0,11,2020,3,3,6,,,18
28,Harvey Barnes,23,LW,1945,25,22,3,9,4,0.6,2.59,1.2,0,0,5,2020,6,10,16,,,13
29,Daniel Podence,25,LW,1661,24,22,2,3,2,0.27,1.73,0.76,0,0,13,2020,2,3,5,,,5
30,Allan Saint-Maximin,24,LW,1559,25,19,6,3,4,0.4,1.73,0.75,0,0,12,2020,5,5,10,,,7
31,Alex Iwobi,25,LW,1542,30,17,13,1,3,0.18,0.93,0.18,0,0,10,2020,2,2,4,,,4
32,Callum Hudson-Odoi,20,LW,1059,23,10,13,2,3,0.42,1.95,0.59,0,0,4,2020,1,2,3,,,5
33,Bruno Fernandes,26,AM,3099,37,35,2,18,11,0.87,3.51,1.48,11,9,2,2020,10,6,16,,,29
34,Mason Mount,22,AM,2891,36,32,4,6,6,0.34,2.55,0.84,1,1,4,2020,11,10,21,,,12
35,Abdoulaye Doucoure,28,AM,2443,29,29,0,2,3,0.18,0.66,0.18,0,0,10,2020,2,4,6,,,5
36,James Maddison,24,AM,2099,31,24,7,8,7,0.56,3.22,0.99,0,0,5,2020,12,8,20,,,15
37,Bernardo Silva,26,AM,2065,26,24,2,2,6,0.35,1.22,0.57,0,0,1,2020,8,4,12,,,8
38,Kevin De Bruyne,29,AM,1997,25,23,2,6,12,0.81,3.65,1.22,3,2,1,2020,15,8,23,,,18
39,Phil Foden,20,AM,1616,28,17,11,9,5,0.78,2.51,1.11,0,0,1,2020,9,5,14,,,14
40,Emile Smith Rowe,20,AM,1440,20,18,2,2,4,0.37,0.81,0.37,0,0,10,2020,10,2,12,,,6
41,James Ward-Prowse,27,AM,3216,36,36,0,10,5,0.42,1.54,0.67,4,4,15,2021,9,4,13,1,,15
42,Conor Gallagher,22,AM,2845,34,33,1,8,3,0.35,1.64,0.7,0,0,12,2021,3,1,4,2,,11
43,lkay Gundogan,31,AM,1856,27,20,7,8,3,0.58,2.67,0.92,0,0,1,2021,8,5,13,3,,11
44,Pablo Fornals,26,AM,2794,36,32,4,6,4,0.29,1.38,0.39,0,0,7,2021,3,1,4,4,,10
45,Youri Tielemans,25,AM,2632,32,29,3,6,4,0.34,2.02,0.58,2,2,8,2021,3,2,5,5,,10
46,Jacob Ramsey,20,AM,2468,34,29,5,6,1,0.26,1.24,0.4,0,0,14,2021,6,7,13,6,,7
47,Alexis Mac Allister,23,AM,2122,33,22,11,5,2,0.3,2.54,0.47,3,2,9,2021,10,2,12,7,,7
48,Bruno Guimaraes,24,AM,1034,17,11,6,5,1,0.52,2,1.04,0,0,11,2021,4,5,9,8,,6
49,Fred,29,AM,2028,28,24,4,4,5,0.36,0.67,0.4,0,0,6,2021,2,2,4,9,,9
50,Joelinton,25,AM,2558,35,30,5,4,2,0.18,1.58,0.49,0,0,11,2021,6,4,10,10,,6
51,John McGinn,27,AM,3090,35,35,0,3,4,0.2,1.25,0.47,0,0,14,2021,1,3,4,11,,7
52,Mateo Kovacic,28,AM,1558,25,16,9,2,5,0.4,1.27,0.35,0,0,3,2021,1,2,3,12,,7
53,Pascal Grob,30,AM,2038,29,24,5,2,4,0.26,1.02,0.35,1,0,9,2021,9,8,17,13,,6
54,Douglas Luiz,24,AM,2716,34,31,3,2,3,0.17,0.76,0.27,0,0,14,2021,6,6,12,15,,5
55,Stuart Armstrong,30,AM,1473,25,15,10,2,0,0.12,2.32,0.55,0,0,15,2021,2,1,3,17,,2
56,Joe Willock,22,AM,2036,29,24,5,2,0,0.09,1.55,0.49,0,0,11,2021,3,6,9,18,,2
