league,season,team,player,nation,pos,age,matches,starts,minutes,nineties,goals,assists,np_goals,pens_scored,pens_taken,GA_p90,np_goals_p90,shots,shots_on_target,shots_p90,shots_on_target_p90,goals_per_shot,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,understat_player_id,xG,xA,npxG,key_passes,xGChain,xGBuildup,_ust_goals,_ust_assists,_ust_shots,_ust_minutes,xG_p90,npxG_p90,xA_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,crosses_p90,fouls_drawn_p90,offsides_p90,interceptions_p90,tackles_won_p90,npxG_plus_xA_p90,xG_per_shot,team_goals,team_np_goals,team_minutes,team_possession,team_shots,share_team_goals,share_team_shots,minutes_pct,team_goals_p90,GA_p90_tertile,season_next,target_tertile_next
ENG-Premier League,1718,Arsenal,Aaron Ramsey,WAL,MF,26.0,24,21,1846,20.5,7,8,7,0,0,0.73,0.34,56.0,25.0,2.73,1.22,0.13,28.0,33.0,0.0,17.0,25.0,26.0,504.0,6.840765129774809,5.922476544976234,6.840765129774809,28.0,19.13114408403635,11.193596303462982,7.0,8.0,56.0,1849.0,0.3335150930009386,0.3335150930009386,0.28874479363372757,1.3651137594799565,0.9327210008468426,0.5457332975686178,0.8288190682556879,1.6088840736728058,0.0,1.218851570964247,1.2676056338028168,0.6222598866346662,0.12215652017455016,73,69,3420,61.4,589,0.0958904109589041,0.09507640067911714,0.539766081871345,1.9210526315789473,high,1819,high
ENG-Premier League,1718,Arsenal,Ainsley Maitland-Niles,ENG,"DF,MF",19.0,15,8,914,10.2,0,0,0,0,0,0.0,0.0,5.0,0.0,0.49,0.0,0.0,10.0,5.0,0.0,20.0,14.0,17.0,1750.0,0.2005000989884138,0.9780506305396556,0.2005000989884138,8.0,5.208638619631529,4.680087383836508,0.0,0.0,5.0,908.0,0.019742898149843813,0.019742898149843813,0.09630695486714333,0.7877461706783371,0.5128856408827545,0.46084011438215067,1.9693654266958425,0.4923413566739606,0.0,1.3785557986870898,1.6739606126914661,0.11604985301698714,0.04010001979768276,73,69,3420,61.4,589,0.0,0.008488964346349746,0.2672514619883041,1.9210526315789473,low,1819,mid
ENG-Premier League,1718,Arsenal,Alex Iwobi,NGA,"MF,FW",21.0,26,22,1830,20.3,3,5,3,0,0,0.39,0.15,45.0,23.0,2.21,1.13,0.07,11.0,12.0,1.0,20.0,7.0,16.0,500.0,4.132385391741991,3.4858011808246374,4.132385391741991,36.0,17.149048805236816,11.71952578984201,3.0,5.0,45.0,1873.0,0.20323206844632744,0.20323206844632744,0.17143284495858874,1.7704918032786887,0.8433958428804992,0.5763701208119021,0.9836065573770493,0.5901639344262295,0.049180327868852465,0.3442622950819672,0.7868852459016394,0.37466491340491614,0.09183078648315536,73,69,3420,61.4,589,0.0410958904109589,0.07640067911714771,0.5350877192982456,1.9210526315789473,high,1819,high
ENG-Premier League,1718,Arsenal,Alexandre Lacazette,FRA,FW,26.0,32,26,2202,24.5,14,4,12,2,2,0.74,0.49,68.0,35.0,2.78,1.43,0.18,28.0,28.0,24.0,15.0,8.0,18.0,3277.0,13.831237014383078,4.839555331505835,12.30889869108796,36.0,20.89856270700693,6.22862989269197,14.0,4.0,67.0,2235.0,0.5653094147568016,0.5030885023605434,0.19780198902612406,1.471389645776567,0.8541646882972861,0.2545761536522604,0.6130790190735695,1.1444141689373297,0.9809264305177112,0.32697547683923706,0.7356948228882835,0.7008904913866674,0.2034005443291629,73,69,3420,61.4,589,0.1917808219178082,0.11544991511035653,0.643859649122807,1.9210526315789473,high,1819,high
ENG-Premier League,1718,Arsenal,Granit Xhaka,SUI,MF,24.0,38,37,3260,36.2,1,7,1,0,0,0.22,0.03,66.0,17.0,1.82,0.47,0.02,57.0,42.0,0.0,102.0,38.0,56.0,204.0,2.1774980118498206,2.860932535491884,2.1774980118498206,39.0,24.63071095384657,22.75941666867584,1.0,7.0,66.0,3274.0,0.06011497578726499,0.06011497578726499,0.07898280005959189,1.0766871165644172,0.6799889527135556,0.628327454043198,2.815950920245399,1.1595092024539877,0.0,1.049079754601227,1.5460122699386503,0.1390977758468569,0.032992394118936674,73,69,3420,61.4,589,0.0136986301369863,0.11205432937181664,0.9532163742690059,1.9210526315789473,mid,1819,mid
ENG-Premier League,1718,Arsenal,Héctor Bellerín,ESP,"MF,DF",22.0,35,34,3051,33.9,2,3,2,0,0,0.15,0.06,29.0,8.0,0.86,0.24,0.07,37.0,9.0,4.0,63.0,27.0,45.0,492.0,2.469969682395458,4.652230934239924,2.469969682395458,32.0,19.897638525813814,14.828240491449831,2.0,3.0,29.0,3051.0,0.07286046260753565,0.07286046260753565,0.13723395086253465,0.943952802359882,0.5869509889620594,0.4374112239365732,1.8584070796460177,0.26548672566371684,0.11799410029498525,0.7964601769911505,1.3274336283185841,0.2100944134700703,0.08517136835846408,73,69,3420,61.4,589,0.0273972602739726,0.04923599320882852,0.8921052631578947,1.9210526315789473,mid,1819,high
ENG-Premier League,1718,Arsenal,Laurent Koscielny,FRA,DF,31.0,25,25,2225,24.7,2,0,2,0,0,0.08,0.08,9.0,2.0,0.36,0.08,0.22,14.0,26.0,2.0,6.0,60.0,23.0,494.0,2.167561603710056,0.4440887998789549,2.167561603710056,7.0,7.934890883974731,7.80208885949105,2.0,0.0,9.0,2232.0,0.08767664913883372,0.08767664913883372,0.017963142467013905,0.28314606741573034,0.32096187845291047,0.3155901111704245,0.24269662921348314,1.051685393258427,0.08089887640449439,2.4269662921348316,0.9303370786516855,0.10563979160584762,0.2408401781900062,73,69,3420,61.4,589,0.0273972602739726,0.015280135823429542,0.6505847953216374,1.9210526315789473,mid,1819,mid
ENG-Premier League,1718,Arsenal,Mesut Özil,GER,"MF,FW",28.0,26,24,2163,24.0,4,8,4,0,0,0.5,0.17,39.0,14.0,1.62,0.58,0.1,18.0,22.0,12.0,98.0,11.0,13.0,499.0,4.391981052234769,9.12885046750307,4.391981052234769,84.0,21.60949475318193,14.733471548184752,4.0,8.0,39.0,2166.0,0.18274539745775736,0.18274539745775736,0.3798412122400723,3.495145631067961,0.8991467997163077,0.6130431989535957,4.077669902912621,0.9153952843273231,0.4993065187239944,0.45769764216366154,0.5409153952843273,0.5625866096978296,0.11261489877525048,73,69,3420,61.4,589,0.0547945205479452,0.06621392190152801,0.6324561403508772,1.9210526315789473,high,1819,high
ENG-Premier League,1718,Arsenal,Nacho Monreal,ESP,DF,31.0,28,26,2243,24.9,5,2,5,0,0,0.28,0.2,21.0,8.0,0.84,0.32,0.24,19.0,17.0,2.0,33.0,60.0,30.0,495.0,1.902514301240444,3.013729577884078,1.902514301240444,13.0,10.20765378512442,8.551952196285129,5.0,2.0,21.0,2246.0,0.0763380682619884,0.0763380682619884,0.12092539545678424,0.521622826571556,0.40958040154311093,0.3431456521023904,1.3241194828354883,0.6821221578243425,0.08024966562639323,2.407489968791797,1.2037449843958985,0.19726346371877262,0.09059591910668781,73,69,3420,61.4,589,0.0684931506849315,0.035653650254668934,0.6558479532163742,1.9210526315789473,high,1819,mid
ENG-Premier League,1718,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,28.0,13,12,1057,11.7,10,4,9,1,2,1.19,0.77,31.0,19.0,2.64,1.62,0.29,1.0,8.0,10.0,16.0,5.0,4.0,318.0,9.174359612166882,1.264147974550724,7.652027260512114,13.0,10.671037072315812,2.366456007584929,10.0,4.0,31.0,1056.0,0.7811659083207374,0.6515444214248726,0.10763795431368511,1.1069063386944182,0.908602967368423,0.2014957811567111,1.3623462630085148,0.6811731315042574,0.8514664143803218,0.4257332071901609,0.3405865657521287,0.7591823757385576,0.2959470842634478,73,69,3420,61.4,589,0.136986301369863,0.05263157894736842,0.3090643274853801,1.9210526315789473,high,1819,high
