player_id,Name,Age,Position,Minutes,Matches Played,Starts,Subs,Goals,Assists,G+A/90,Shots/90,Shots on target/90,Pens taken,Pens scored,Club position at the end of the league
1,Ollie Watkins,25,CF,3329,37,37,0,14,5,0.51,2.65,1.27,2,1,11th
2,Harry Kane,27,CF,3082,35,35,0,23,14,1.08,4.03,1.61,4,4,7th
3,Patrick Bamford,27,CF,3050,38,37,1,17,9,0.71,3.16,1.42,3,2,9th
4,Dominic Calvert-Lewin,24,CF,2871,33,32,1,16,3,0.5,2.6,1.47,0,0,10th
5,Richarlison,24,CF,2862,34,33,1,7,3,0.31,2.55,1.01,1,1,10th
6,Jamie Vardy,34,CF,2840,34,31,3,15,10,0.76,2.63,1.2,9,8,5th
7,Roberto Firmino,29,CF,2838,36,33,3,9,7,0.51,2.63,1.08,0,0,3rd
8,Chris Wood,29,CF,2742,33,32,1,12,3,0.49,2.3,1.31,2,2,17th
9,Che Adams,24,CF,2667,36,30,6,9,5,0.47,1.86,1.05,0,0,15th
10,Timo Werner,25,CF,2602,35,29,6,6,12,0.48,2.77,1.11,0,0,4th
11,Neal Maupay,24,CF,2513,33,29,4,8,2,0.36,2.54,0.93,4,3,16th
12,David McGoldrick,33,CF,2397,35,28,7,8,1,0.34,2.67,0.9,0,0,20th
13,Pierre-Emerick Aubameyang,31,CF,2333,29,26,3,10,3,0.5,2.2,0.85,2,2,8th
14,Danny Ings,28,CF,2173,29,26,3,12,4,0.66,2.4,1.2,2,2,15th
15,Jordan Ayew,29,CF,2096,33,23,10,1,3,0.17,1.12,0.47,0,0,14th
16,Callum Wilson,29,CF,2084,26,23,6,12,5,0.73,2.12,0.86,4,4,12th
17,Gabriel Jesus,24,CF,2063,29,22,7,9,4,0.57,2.4,0.74,0,0,1st
18,Michail Antonio,31,CF,1974,26,24,2,10,5,0.68,2.87,1.14,0,0,6th
19,Alexandre Lacazette,29,CF,1924,31,22,9,13,2,0.7,2.11,1.36,3,3,8th
20,Christian Benteke,30,CF,1817,30,21,9,10,1,0.55,3.52,1.64,0,0,14th
21,Callum Robinson,26,CF,1560,28,20,8,5,0,0.29,1.79,0.63,0,0,19th
22,Danny Welbeck,30,CF,1545,24,17,4,6,3,0.41,2.04,0.87,0,0,16th
23,Kai Hevertz,21,CF,1519,27,18,9,4,6,0.41,2.79,1.14,0,0,4th
24,Anthony Martial,25,CF,1481,22,17,5,4,6,0.43,2.55,1.22,0,0,5th
25,Kelechi Iheanacho,24,CF,1459,25,16,9,12,2,0.65,3.64,1.54,1,0,5th
26,Aleksandar Mitrovic,26,CF,1402,27,13,14,3,3,0.39,3.79,1.28,2,1,18th
27,Edinson Cavani,34,CF,1376,26,13,13,10,3,0.85,2.23,0.98,0,0,2nd
28,Matej Vydra,29,CF,1370,28,15,12,3,2,0.33,2.3,0.66,0,0,17th
29,Fabio Silva,18,CF,1369,32,11,21,4,3,0.46,3.16,1.12,1,1,13th
30,Ashley Barnes,31,CF,1331,22,15,7,3,0,0.2,2.64,0.88,1,1,17th
31,Ayoze Perez,27,CF,1331,25,15,10,2,1,0.2,2.1,0.88,0,0,5th
32,Oli McBurnie,24,CF,1324,23,12,11,1,2,0.07,2.04,0.88,0,0,20th
33,Ferran Torres,21,CF,1306,24,15,9,7,2,0.62,2.48,1.03,0,0,1st
34,Rodrigo,30,CF,1288,26,14,12,7,2,0.63,3.21,1.26,0,0,9th
35,Oliver Burke,24,CF,1270,25,14,11,1,1,0.14,1.77,0.43,0,0,20th
36,Jay Rodriguez,31,CF,1265,31,12,19,1,2,0.21,2.21,0.71,0,0,17th
37,Mbaye Diagne,29,CF,1188,16,14,2,3,2,0.38,1.89,0.76,0,0,19th
38,Karlan Grant,23,CF,1127,21,14,7,1,0,0.08,1.28,0.72,0,0,19th
39,Willian Jose,29,CF,1110,17,12,5,1,1,0.08,1.54,0.57,0,0,13th
40,Tammy Abraham,23,CF,1040,22,12,10,6,2,0.61,2.77,1.13,0,0,4th
41,Sebastien Haller,26,CF,937,16,10,6,3,0,0.29,2.4,1.06,0,0,6th
42,Mohamed Salah,28,RW,3078,37,34,3,22,5,0.79,3.68,1.58,6,6,3rd
43,Adama Traoré,25,RW,2649,37,28,9,2,3,0.14,1.46,0.44,0,0,13th
44,Jarrod Bowen,24,RW,2561,38,30,8,8,5,0.18,1.93,0.56,0,0,6th
45,Bukayo Saka,19,RW,2553,32,30,2,5,4,0.28,2.15,0.71,0,0,8th
46,Pedro Neto,21,RW,2550,31,30,1,5,6,0.39,2.15,0.74,0,0,13th
47,Raheem Sterling,26,RW,2536,31,28,3,10,8,0.6,2.48,0.99,1,0,1st
48,Miguel Almiron,27,RW,2428,34,28,6,4,1,0.19,1.22,0.56,0,0,12th
49,Bertrand Traore,25,RW,2317,36,29,7,7,7,0.5,2.49,0.93,0,0,11th
50,Andros Townsend,29,RW,2258,34,25,9,1,5,0.24,1.43,0.44,0,0,14th
51,Riyad Mahrez,30,RW,1949,27,23,4,9,6,0.69,2.68,1.02,0,0,1st
52,Matt Phillips,30,RW,1828,33,20,13,2,1,0.15,1.08,0.49,0,0,12th
53,Mason Greenwood,19,RW,1822,31,21,10,7,2,0.44,3.31,1.19,0,0,2nd
54,Christian Pulisic,22,RW,1739,27,18,9,4,2,0.31,2.23,0.83,0,0,4th
55,Nathan Redmond,27,RW,1738,29,17,12,2,3,0.26,2.33,0.67,0,0,15th
56,Solly March,26,RW,1672,21,19,2,2,1,0.16,1.18,0.22,0,0,16th
57,Jacob Murphy,26,RW ,1626,26,17,9,2,3,0.28,1.66,0.5,0,0,12th
58,Nicolas Pepe,25,RW,1617,29,16,13,10,1,0.61,2.67,1.17,1,1,8th
59,Anwar El Ghazi,26,RW,1613,28,17,11,10,0,0.56,3.57,1.67,4,4,1th
60,Lucas Moura,28,RW,1411,30,14,16,3,4,0.45,1.15,0.38,0,0,7th
61,Johann Berg Gudmundsson,30,RW,1363,22,16,6,2,0,0.13,1.25,0.53,0,0,17th
62,Grady Diangana,23,RW,1235,20,15,5,1,0,0.07,1.02,0.29,0,0,19th
63,Hakim Ziyech,28,RW,1171,23,15,8,2,3,0.38,2.69,1,0,0,4th
64,Helder Costa,27,RW,1156,22,13,9,3,3,0.47,1.25,0.47,0,0,9th
65,Gareth Bale,31,RW,920,20,10,10,11,2,1.27,3.72,1.86,0,0,7th
66,Daniel James,23,RW,910,15,11,4,3,1,0.4,1.68,0.59,0,0,2nd
67,Heung-min Son,28,LW,3114,37,36,1,17,11,0.78,1.97,1.07,1,1,7th
68,Dwight McNeil,21,LW,3069,36,34,2,2,5,0.21,0.76,0.29,0,0,17th
69,Marcus Rashford,23,LW,2916,37,33,4,11,13,0.62,2.43,1.14,0,0,2nd
70,Jack Harrison,24,LW,2847,36,34,2,8,8,0.51,1.45,0.63,0,,9th
71,Sadio Mane,29,LW,2810,35,31,4,11,8,0.58,3.01,1.15,0,0,3rd
72,Wilfred Zaha,28,LW,2612,30,29,1,11,2,0.45,2.07,0.69,2,2,14th
73,Leandro Trossard,26,LW,2607,35,30,5,5,5,0.35,2,0.79,0,0,16th
