player_id,name,age,position,minutes,appearances,starts,subs,goals,assists,g+a per 90,shots/90,shots on target/90,pens taken,pens scored,club position at the end of the league
1,Douglas Luiz,26,AM,2994,35,35,0,9,5,0.42,1.44,0.51,4,4,4th
2,Declan Rice,25,AM,3225,38,37,1,7,9,0.42,1.62,0.56,0,0,2nd
3,Bruno Guimaraes,26,AM,3263,37,37,0,7,8,0.41,1.32,0.44,0,0,7th
4,James Ward-Prowse,29,AM,3001,37,34,3,7,7,0.42,1.32,0.54,2,2,9th
5,Scott McTominay,27,AM,1901,32,18,14,7,1,0.38,2.08,0.9,0,0,8th
6,John McGinn,29,AM,3000,35,35,0,6,5,0.3,1.2,0.48,0,0,4th
7,Sean Longstaff,26,AM,2747,35,30,5,6,2,0.26,1.34,0.49,0,0,7th
8,Conor Gallagher,24,AM,3129,37,37,0,5,7,0.35,1.38,0.52,0,0,6t
9,Alexis Mac Allister,25,AM,2602,33,31,2,5,5,0.35,1.52,0.31,1,1,3rd
10,Pascal Grob,32,AM,3114,36,34,2,4,11,0.4,1.59,0.58,1,1,11th
11,Josh Brownhill,28,AM,2253,33,23,10,4,2,0.24,1.12,0.44,0,0,19th
12,Andreas Pereira,28,AM,2614,37,34,3,3,7,0.34,1.79,0.55,0,0,13th
13,Mathias Jensen,28,AM,2204,32,27,5,3,3,0.25,0.57,0.29,0,0,16th
14,Pape Matar Sarr,21,AM,2069,34,27,7,3,3,0.26,1.57,0.61,0,0,5th
15,Enzo Fernandez,23,AM,2209,28,26,2,3,2,0.2,1.91,0.65,2,1,6th
16,Kobbie Mainoo,19,AM,1924,24,24,0,3,1,0.19,0.51,0.23,0,0,8th
17,Youri Tielemans,27,AM,1622,32,17,15,2,7,0.44,0.78,0.33,0,0,4th
18,Ryan Christie,29,AM,2907,37,35,2,0,5,0.15,1.33,0.4,0,0,12th
19,Danilo Santos,23,AM,1791,29,20,9,2,2,0.2,1.16,0.35,0,0,17th
20,Philip Billing,27,AM,1401,29,13,16,2,2,0.26,1.93,0.52,0,0,12th
21,Nicolas Dominguez,25,AM,1495,26,19,7,2,2,0.24,1.32,0.36,0,0,17th
22,Joao Gomes,23,AM,2648,34,32,2,2,1,0.1,0.88,0.27,0,0,14th
23,Jean-Ricner Bellegarde,25,AM,959,22,10,12,2,1,0.28,1.41,0.47,0,0,14th
24,Joelinton,27,AM,1279,20,15,5,2,1,0.21,1.34,0.63,0,0,7th
25,Tom Cairney,33,AM,1488,34,14,20,1,4,0.3,1.03,0.48,0,0,13th
26,Ryan Yates,26,AM,1992,35,21,14,1,1,0.09,1.45,0.32,0,0,17th
27,Curtis Jones,23,AM,1166,23,14,9,1,1,0.15,1.47,0.46,0,0,3rd
28,Mateo Kovacic,30,AM,1551,30,16,14,1,0,0.06,1.28,0.29,0,0,1st
29,Harrison Reed ,29,AM,1325,27,15,12,0,2,0.14,0.61,0.14,0,0,13th
30,Sasa Lukic,27,AM,1121,24,13,11,1,0,0.08,1.04,0.24,0,0,13th
31,Erling Haaland,23,CF,2552,31,29,2,27,5,1.13,4.27,2.08,8,7,1st
32,Alexander Isak,24,CF,2255,30,27,3,21,2,0.92,3.02,1.48,6,5,7th
33,Ollie Watkins,28,CF,3217,37,37,0,19,15,0.9,2.97,1.29,0,0,4th
34,Dominic Solanke,26,CF,3325,38,37,1,19,3,0.6,2.95,1.03,3,2,12th
35,Jean-Philippe Mateta,26,CF,2282,35,25,10,16,6,0.83,1.81,1.14,2,2,10th
36,Nicolas Jackson,22,CF,2799,35,31,4,14,5,0.61,2.52,1.32,0,0,6th
37,Chris Wood,32,CF,1811,31,20,11,14,1,0.75,2.38,1.29,0,0,17th
38,Kai Havertz,24,CF,2634,37,30,7,13,7,0.68,2.36,0.96,1,1,2nd
39,Matheus Cunha,24,CF,2440,32,29,3,12,7,0.7,2.69,1.4,1,1,14th
40,Yoane Wissa,27,CF,2493,34,29,5,12,4,0.54,2.42,0.94,0,0,16th
41,Hee-chan Hwang,28,CF,2119,29,25,4,12,3,0.64,1.91,0.76,1,1,14th
42,Julian Alvarez,24,CF,2647,36,31,5,11,8,0.65,3.33,1.36,2,2,1st
43,Darwin Nunez,24,CF,2047,36,22,14,11,8,0.84,4.75,2.02,1,0,3rd
44,Richarlison,26,CF,1491,28,18,10,11,4,0.91,3.68,1.51,0,0,5th
45,Rasmus Hojlund,21,CF,2159,30,25,5,10,2,0.5,1.58,0.88,0,0,8th
46,Joao Pedro,22,CF,2046,31,19,12,9,3,0.53,3.3,1.14,5,4,11th
47,Rodrigo Muniz,23,CF,1594,26,18,8,9,1,0.56,4.12,1.53,0,0,13th
48,Callum Wilson,32,CF,991,20,9,11,9,1,0.91,3.18,1.91,2,2,7th
49,Dominic Calvert-Lewin,27,CF,2170,32,26,6,7,2,0.37,3.03,1.29,2,2,15th
50,Odsonne Edouard,26,CF,1555,30,17,13,7,0,0.41,2.95,1.1,0,0,10th
51,Raul Jimenez,33,CF,1395,24,18,6,7,0,0.45,2.65,1.1,0,0,13th
52,Neal Maupay,27,CF,1432,29,13,16,6,3,0.61,2.52,1.09,0,0,16th
53,Taiwo Awoniyi,26,CF,1042,20,12,8,6,3,0.78,1.9,0.95,0,0,17th
