player_id,name,Age,Position,Minutes,Matches Played,Starts,Subs,Goals,Assists,G+A/90,Shots/90,Shots on target/90,Pens taken,Pens scored,Club position at the end of the league
1,Enzo Fernandez,24,AM,2947,36,32,4,6,7,0.4,1.62,0.61,0,0,4th
2,Mateo Kovacic,31,AM,2198,31,25,6,6,2,0.33,1.84,0.49,0,0,3rd
3,Bruno Guimaraes,27,AM,3270,38,38,0,5,6,0.3,1.24,0.41,0,0,5th
4,Alexis Mac Allister,26,AM,2601,35,30,5,5,5,0.35,1.31,0.48,0,0,1st
5,Declan Rice,26,AM,2826,35,33,2,4,7,0.35,1.53,0.48,0,0,2nd
6,Joelinton,28,AM,2394,29,29,0,4,3,0.26,1.69,0.53,0,0,5th
7,Youri Tielemans,28,AM,3026,36,35,1,3,7,0.3,1.22,0.39,1,0,6th
8,Kobbie Mainoo,20,AM,1651,25,19,6,0,0,0,0.82,0.11,0,0,15th
9,Curtis Jones,24,AM,1712,33,19,14,3,3,0.32,1.79,0.68,0,0,2nd
10,Pape Matar Sarr,22,AM,1913,36,22,14,3,2,0.24,1.6,0.61,0,0,17th
11,Joao Gomes,24,AM,2974,36,35,1,3,1,0.12,1.06,0.21,0,0,16th
12,Joe Aribo,28,AM,2013,32,21,11,3,0,0.13,0.76,0.31,0,0,20th
13,Jean-Ricner Bellegarde,26,AM,1677,35,20,15,2,7,0.48,1.18,0.27,0,0,16th
14,Andreas Pereira,29,AM,2013,33,25,8,2,4,0.27,1.74,0.4,1,0,11th
15,Nicolas Dominguez,26,AM,1963,34,23,11,0,1,0.05,0.96,0.41,0,0,17th
16,Ryan Christie,30,AM,2116,29,27,2,2,3,0.21,1.4,0.51,0,0,9th
17,Ryan Yates,27,AM,1916,35,18,17,2,1,0.14,1.55,0.42,0,0,7th
18,lkay Gundogan,34,AM,2223,33,25,8,1,7,0.28,1.09,0.28,0,0,3rd
19,Jacob Ramsey,23,AM,1624,29,19,10,1,5,0.22,1.05,0.22,0,0,6th
