understat_player_id,player,team,league,season,cluster_kmeans
500.0,Alex Iwobi,Arsenal,ENG-Premier League,1718,1
3277.0,Alexandre Lacazette,Arsenal,ENG-Premier League,1718,4
501.0,Danny Welbeck,Arsenal,ENG-Premier League,1718,2
499.0,Mesut Özil,Arsenal,ENG-Premier League,1718,1
318.0,Pierre-Emerick Aubameyang,Arsenal,ENG-Premier League,1718,4
468.0,Callum Wilson,Bournemouth,ENG-Premier League,1718,2
735.0,Jermain Defoe,Bournemouth,ENG-Premier League,1718,2
465.0,Joshua King,Bournemouth,ENG-Premier League,1718,3
463.0,Junior Stanislas,Bournemouth,ENG-Premier League,1718,0
882.0,Glenn Murray,Brighton,ENG-Premier League,1718,2
239.0,Pascal Groß,Brighton,ENG-Premier League,1718,0
4422.0,Ashley Barnes,Burnley,ENG-Premier League,1718,2
4456.0,Chris Wood,Burnley,ENG-Premier League,1718,2
1661.0,Sam Vokes,Burnley,ENG-Premier League,1718,2
701.0,Eden Hazard,Chelsea,ENG-Premier League,1718,1
687.0,Pedro,Chelsea,ENG-Premier League,1718,3
700.0,Willian,Chelsea,ENG-Premier League,1718,1
1804.0,Álvaro Morata,Chelsea,ENG-Premier League,1718,4
775.0,Andros Townsend,Crystal Palace,ENG-Premier League,1718,0
606.0,Christian Benteke,Crystal Palace,ENG-Premier League,1718,2
522.0,Wilfried Zaha,Crystal Palace,ENG-Premier League,1718,2
6477.0,Cenk Tosun,Everton,ENG-Premier League,1718,2
5555.0,Dominic Calvert-Lewin,Everton,ENG-Premier League,1718,3
714.0,Gylfi Sigurðsson,Everton,ENG-Premier League,1718,0
599.0,Oumar Niasse,Everton,ENG-Premier League,1718,4
629.0,Wayne Rooney,Everton,ENG-Premier League,1718,3
1250.0,Mohamed Salah,Liverpool,ENG-Premier League,1718,4
488.0,Philippe Coutinho,Liverpool,ENG-Premier League,1718,1
482.0,Roberto Firmino,Liverpool,ENG-Premier League,1718,1
838.0,Sadio Mané,Liverpool,ENG-Premier League,1718,1
3635.0,Bernardo Silva,Manchester City,ENG-Premier League,1718,1
5543.0,Gabriel Jesus,Manchester City,ENG-Premier League,1718,4
337.0,Leroy Sané,Manchester City,ENG-Premier League,1718,1
618.0,Raheem Sterling,Manchester City,ENG-Premier League,1718,4
619.0,Sergio Agüero,Manchester City,ENG-Premier League,1718,4
743.0,Dwight Gayle,Newcastle United,ENG-Premier League,1718,2
866.0,Joselu,Newcastle United,ENG-Premier League,1718,2
848.0,Charlie Austin,Southampton,ENG-Premier League,1718,4
1383.0,Manolo Gabbiadini,Southampton,ENG-Premier League,1718,2
839.0,Shane Long,Southampton,ENG-Premier League,1718,3
